Date,Description,Amount
"Feb 14, 2025 ","COSTCO WHOLESALE W533, KINGSTON ",72.14
"Feb 13, 2025 ","BULK BARN #760, KINGSTON ",4.69
"Feb 13, 2025 ","AMZN Mktp CA*RG5MU5W93, WWW.AMAZON.CA ",337.87
"Feb 13, 2025 ","METRO 152, KINGSTON ",3.59
"Feb 12, 2025 ","REXALL PHARMACY #1529, KINGSTON ",9.98
"Feb 12, 2025 ","DOLLARAMA #1291, KINGSTON ",5.77
"Feb 12, 2025 ","FLIXBUS INC, Dallas ",13.98
"Feb 11, 2025 ","VIRGIN PLUS, VERDUN ",56.5
"Feb 11, 2025 ","APPLE.COM/BILL, 866-712-7753 ",4.51
"Feb 9, 2025 ","JOE'S NF BELLEVILLE #7, BELLEVILLE ",28.73
"Feb 9, 2025 ","DOLLARAMA # 292, BELLEVILLE ",1.5
"Feb 9, 2025 ","MOBILE SERVICE, VERDUN ",22.6
"Feb 7, 2025 ","COSTCO WHOLESALE W533, KINGSTON ",3.49
"Feb 7, 2025 ","COSTCO WHOLESALE W533, KINGSTON ",11.29
"Feb 5, 2025 ","SQ *PEARL DENTAL CARE, Kingston ",246.4
"Feb 4, 2025 ","HONK PARKING, 866-675-7337 ",1.95
"Feb 4, 2025 ","COSTCO WHOLESALE W533, KINGSTON ",3
"Feb 4, 2025 ","FOOD BASICS 949, KINGSTON ",40.08
"Feb 3, 2025 ","WAL-MART #3043, KINGSTON ",24.41
"Feb 3, 2025 ","Netflix.com, 866-716-0414 ",6.89
"Feb 2, 2025 ","LOBLAWS #1040, KINGSTON ",19.34
"Feb 1, 2025 ","TICKETMASTER CANADA HO, TORONTO ",255.2
"Jan 31, 2025 ","GROCERY CHECKOUT, KINGSTON ",1.99
"Jan 31, 2025 ","METRO 152, KINGSTON ",14.32
"Jan 31, 2025 ","QUEEN'S CENTRE, TIM HO, KINGSTON ",3.69
"Jan 31, 2025 ","AZGA SERVICE CANADA IN, CAMBRIDGE ",17.28
"Jan 29, 2025 ","QUEEN'S CENTRE, TIM HO, KINGSTON ",6.88
"Jan 28, 2025 ","METRO 152, KINGSTON ",11.66
"Jan 28, 2025 ","MAC CORRY GRAB AND GO, KINGSTON ",6.84
"Jan 27, 2025 ","COSTCO WHOLESALE W533, KINGSTON ",56.91
"Jan 26, 2025 ","FRESHCO #9677, BELLEVILLE ",47.14
"Jan 26, 2025 ","BELLEVILLE ESSO, BELLEVILLE ",61.46
"Jan 26, 2025 ","FLIXBUS INC, Dallas ",16.98
"Jan 25, 2025 ","CITY PIZZA BELLEVILLE, BELLEVILLE ",11.39
"Jan 25, 2025 ","TST-Chicago Wings Rest, Kingston ",30.58
"Jan 23, 2025 ","MAC CORRY GRAB AND GO, KINGSTON ",2.5
"Jan 22, 2025 ","MAC CORRY GRAB AND GO, KINGSTON ",2.5
"Jan 22, 2025 ","THE SHUROOP, KINGSTON ",24.7
"Jan 22, 2025 ","CITY OF KINGSTON PARK, KINGSTON ",2
"Jan 21, 2025 ","LOBLAWS #1040, KINGSTON ",29.99
"Jan 21, 2025 ","STACKED KINGSTONE, KINGSTON ",94.68
"Jan 20, 2025 ","HONK PARKING, 866-675-7337 ",15.35
"Jan 19, 2025 ","LCBO/RAO #0167, KINGSTON ",50.95
"Jan 18, 2025 ","DOLLARAMA # 591, KINGSTON ",26.47
"Jan 18, 2025 ","TANYA'S NF KINGSTON 75, KINGSTON ",112.9
"Jan 17, 2025 ","MAC CORRY GRAB AND GO, KINGSTON ",2.85
"Jan 17, 2025 ","TRUPANION, VANCOUVER ",67.54
"Jan 17, 2025 ","COINAMATIC, KINGSTON ",25.25
"Jan 16, 2025 ","METRO 152, KINGSTON ",5.83
"Jan 15, 2025 ","METRO 152, KINGSTON ",1.79
"Jan 15, 2025 ","QUEEN'S CENTRE, TIM HO, KINGSTON ",3.19
"Jan 14, 2025 ","DRUGSMART PHARMACY 101, KINGSTON ",4.99
"Jan 14, 2025 ","AMZN Mktp CA*ZD9HI8DQ1, WWW.AMAZON.CA ",101.69
"Jan 14, 2025 ","MAC CORRY GRAB AND GO, KINGSTON ",2.85
"Jan 14, 2025 ","MAC CORRY GRAB AND GO, KINGSTON ",4.99
"Jan 14, 2025 ","MAC CORRY GRAB AND GO, KINGSTON ",2.5
"Jan 14, 2025 ","METRO 152, KINGSTON ",15.59
"Jan 13, 2025 ","GROCERY CHECKOUT, KINGSTON ",2.79
"Jan 11, 2025 ","APPLE.COM/BILL, 866-712-7753 ",4.51
"Jan 10, 2025 ","MAC CORRY GRAB AND GO, KINGSTON ",2.5
"Jan 10, 2025 ","METRO 152, KINGSTON ",30.54
"Jan 10, 2025 ","METRO 152, KINGSTON ",6.21
"Jan 10, 2025 ","AMZN Mktp CA*ZD0204QJ0, WWW.AMAZON.CA ",47.45
"Jan 9, 2025 ","FLIP IT, KINGSTON ",11.74
"Jan 9, 2025 ","MAC CORRY GRAB AND GO, KINGSTON ",5.1
"Jan 9, 2025 ","MAC CORRY GRAB AND GO, KINGSTON ",0.35
"Jan 9, 2025 ","MOBILE SERVICE, VERDUN ",22.6
"Jan 9, 2025 ","VIRGIN PLUS, VERDUN ",56.5
"Jan 8, 2025 ","MAC CORRY GRAB AND GO, KINGSTON ",7.49
"Jan 8, 2025 ","UBER CANADA/UBERTRIP, TORONTO ",12.52
"Jan 7, 2025 ","MAC CORRY GRAB AND GO, KINGSTON ",2.85
"Jan 5, 2025 ","DISNEY PLUS, 1 800727-1800 ",10.16
"Jan 4, 2025 ","METRO 152, KINGSTON ",5.11
"Jan 3, 2025 ","NETFLIX.COM, VANCOUVER ",6.89
"Jan 2, 2025 ","METRO 152, KINGSTON ",35.71
"Jan 1, 2025 ","TIM HORTONS #1002, 705-653-2028",4.5
